geo,geo.name,geo.cat
world,World,planet
afr,Africa,region
asi,Asia,region
ame,America,region
eur,Europe,region
_abk,Abkhazia,country
afg,Afghanistan,country
_akr,Akrotiri and Dhekelia,country
alb,Albania,country
dza,Algeria,country
asm,American Samoa,country
and,Andorra,country
ago,Angola,country
aia,Anguilla,country
atg,Antigua and Barbuda,country
arg,Argentina,country
arm,Armenia,country
abw,Aruba,country
aus,Australia,country
aut,Austria,country
aze,Azerbaijan,country
bhs,Bahamas,country
bhr,Bahrain,country
bgd,Bangladesh,country
brb,Barbados,country
blr,Belarus,country
bel,Belgium,country
blz,Belize,country
ben,Benin,country
bmu,Bermuda,country
btn,Bhutan,country
bol,Bolivia,country
bih,Bosnia and Herzegovina,country
bwa,Botswana,country
bra,Brazil,country
vgb,British Virgin Islands,country
brn,Brunei,country
bgr,Bulgaria,country
bfa,Burkina Faso,country
bdi,Burundi,country
khm,Cambodia,country
cmr,Cameroon,country
can,Canada,country
cpv,Cape Verde,country
cym,Cayman Islands,country
caf,Central African Republic,country
tcd,Chad,country
_cis,Channel Islands,country
chl,Chile,country
chn,China,country
cxr,Christmas Island,country
cck,Cocos Island,country
col,Colombia,country
com,Comoros,country
cod,Dem. Rep. Congo,country
cog,Rep. Congo,country
cok,Cook Is,country
cri,Costa Rica,country
civ,Cote d'Ivoire,country
hrv,Croatia,country
cub,Cuba,country
cyp,Cyprus,country
cze,Czech Republic,country
_csk,Czechoslovakia,country
dnk,Denmark,country
dji,Djibouti,country
dma,Dominica,country
dom,Dominican Republic,country
_ddr,East Germany,country
ecu,Ecuador,country
egy,Egypt,country
slv,El Salvador,country
gnq,Equatorial Guinea,country
eri,Eritrea,country
_eae,Eritrea and Ethiopia,country
est,Estonia,country
eth,Ethiopia,country
fro,Faeroe Islands,country
flk,Falkland Is (Malvinas),country
fji,Fiji,country
fin,Finland,country
fra,France,country
guf,French Guiana,country
pyf,French Polynesia,country
gab,Gabon,country
gmb,Gambia,country
geo,Georgia,country
deu,Germany,country
gha,Ghana,country
gib,Gibraltar,country
grc,Greece,country
grl,Greenland,country
grd,Grenada,country
glp,Guadeloupe,country
gum,Guam,country
gtm,Guatemala,country
gbg,Guernsey,country
gin,Guinea,country
gnb,Guinea-Bissau,country
guy,Guyana,country
hti,Haiti,country
hos,Holy See,country
hnd,Honduras,country
hkg,Hong Kong,country
hun,Hungary,country
isl,Iceland,country
ind,India,country
idn,Indonesia,country
irn,Iran,country
irq,Iraq,country
irl,Ireland,country
gbm,Isle of Man,country
isr,Israel,country
ita,Italy,country
jam,Jamaica,country
jpn,Japan,country
jey,Jersey,country
jor,Jordan,country
kaz,Kazakhstan,country
ken,Kenya,country
kir,Kiribati,country
prk,North Korea,country
kor,South Korea,country
_unk,Kosovo,country
kwt,Kuwait,country
kgz,Kyrgyz Republic,country
lao,Lao,country
lva,Latvia,country
lbn,Lebanon,country
lso,Lesotho,country
lbr,Liberia,country
lby,Libya,country
lie,Liechtenstein,country
ltu,Lithuania,country
lux,Luxembourg,country
mac,Macao,country
mkd,Macedonia,country
mdg,Madagascar,country
mwi,Malawi,country
mys,Malaysia,country
mdv,Maldives,country
mli,Mali,country
mlt,Malta,country
mhl,Marshall Islands,country
mtq,Martinique,country
mrt,Mauritania,country
mus,Mauritius,country
myt,Mayotte,country
mex,Mexico,country
fsm,Micronesia,country
mda,Moldova,country
mco,Monaco,country
mng,Mongolia,country
mne,Montenegro,country
msr,Montserrat,country
mar,Morocco,country
moz,Mozambique,country
mmr,Myanmar,country
nam,Namibia,country
nru,Nauru,country
npl,Nepal,country
nld,Netherlands,country
ant,Netherlands Antilles,country
ncl,New Caledonia,country
nzl,New Zealand,country
_ngo,Ngorno-Karabakh,country
nic,Nicaragua,country
ner,Niger,country
nga,Nigeria,country
niu,Niue,country
nfk,Norfolk Island,country
_ncy,Northern Cyprus,country
mnp,Northern Mariana Islands,country
nor,Norway,country
omn,Oman,country
pak,Pakistan,country
plw,Palau,country
pan,Panama,country
png,Papua New Guinea,country
pry,Paraguay,country
per,Peru,country
phl,Philippines,country
pcn,Pitcairn,country
pol,Poland,country
prt,Portugal,country
pri,Puerto Rico,country
qat,Qatar,country
reu,Reunion,country
rou,Romania,country
rus,Russia,country
rwa,Rwanda,country
_stb,St. Barth�lemy,country
shn,St. Helena,country
kna,St. Kitts and Nevis,country
lca,St. Lucia,country
_stm,St. Martin,country
vct,St. Vincent and the Grenadines,country
spm,St.-Pierre-et-Miquelon,country
wsm,Samoa,country
smr,San Marino,country
stp,Sao Tome and Principe,country
sau,Saudi Arabia,country
sen,Senegal,country
srb,Serbia,country
scg,Serbia and Montenegro,country
_srbek,Serbia excluding Kosovo,country
syc,Seychelles,country
sle,Sierra Leone,country
sgp,Singapore,country
svk,Slovak Republic,country
svn,Slovenia,country
slb,Solomon Islands,country
som,Somalia,country
_sol,Somaliland,country
zaf,South Africa,country
_sos,South Ossetia,country
esp,Spain,country
lka,Sri Lanka,country
sdn,Sudan,country
sur,Suriname,country
sjm,Svalbard,country
swz,Swaziland,country
swe,Sweden,country
che,Switzerland,country
syr,Syria,country
twn,Taiwan,country
tjk,Tajikistan,country
tza,Tanzania,country
tha,Thailand,country
tls,Timor-Leste,country
tgo,Togo,country
tkl,Tokelau,country
ton,Tonga,country
_tra,Transnistria,country
tto,Trinidad and Tobago,country
tun,Tunisia,country
tur,Turkey,country
tkm,Turkmenistan,country
tca,Turks and Caicos Islands,country
tuv,Tuvalu,country
uga,Uganda,country
ukr,Ukraine,country
are,United Arab Emirates,country
gbr,United Kingdom,country
usa,United States,country
ury,Uruguay,country
_ussr,USSR,country
uzb,Uzbekistan,country
wlf,Wallis et Futuna,country
vut,Vanuatu,country
ven,Venezuela,country
pse,West Bank and Gaza,country
_brd,West Germany,country
esh,Western Sahara,country
vnm,Vietnam,country
vir,Virgin Islands (U.S.),country
_noy,North Yemen (former),country
_soy,South Yemen (former),country
yem,Yemen,country
_yug,Yugoslavia,country
zmb,Zambia,country
zwe,Zimbabwe,country
ala,Åland,country
sds,South Sudan,country
nl-cw,Curaçao,country
sxm,Sint Maarten (Dutch part),country
ata,Antarctica,country
_bv,Bouvet Island,country
iot,British Indian Ocean Territory,country
fr-cp,Clipperton,country
fr_tf,French Southern and Antarctic Lands,country
pse_gaz,Gaza Strip,country
_hm,Heard and McDonald Islands,country
_gs,South Georgia and the South Sandwich Islands,country
_um,US Minor Outlying Islands,country
_vis,Virgin Islands,country
pse_web,West Bank,country
